"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1380618391686352901","https://twitter.com/openneurosci/status/1380618391686352901","Join the team making this possible at https://t.co/HOi2NuSbOx. Catch the talk at https://t.co/rYFGiGNFy6, and join us every Friday at 15:00 GMT (UTC+0) for more #opensource #neuroscience !","2021-04-09 20:27 +0000","438.0","15.0","0.03424657534246575","5.0","0.0","4.0","1.0","2.0","0.0","2.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380618390004457472","https://twitter.com/openneurosci/status/1380618390004457472","You can also easily access and install other tools that are available in Fedora but not pre-installed (e.g. git). And create container images that snapshot all your current setup to share with others, without limits: data, source code, software versions and current libraries!","2021-04-09 20:27 +0000","276.0","1.0","0.0036231884057971015","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380618388427390979","https://twitter.com/openneurosci/status/1380618388427390979","They provide ready-to-use ISO images that include pre-installed neuroscience software such as jupyter, neuron, numpy, scipy, and many more to set up a #Fedora  workstation based system. Or you can just run their ISO in a virtual machine to use it “live"" without installation. 🤯","2021-04-09 20:27 +0000","156.0","2.0","0.01282051282051282","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380618386879700992","https://twitter.com/openneurosci/status/1380618386879700992","“As you work with more and more software and you become aware of things like open science you realize that software is really really critical when it comes to the sciences. And with that in mind, a few of us got together and started working on NeuroFedora.”","2021-04-09 20:27 +0000","141.0","1.0","0.0070921985815602835","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380618385373945857","https://twitter.com/openneurosci/status/1380618385373945857","Dr. Sinha promotes FLOSS as a developer of @NeuroFedora: an initiative to provide a ready to use Fedora based Free/Open source software platform for neuroscience.","2021-04-09 20:27 +0000","132.0","4.0","0.030303030303030304","0.0","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380618383452995590","https://twitter.com/openneurosci/status/1380618383452995590","Highlights of the last Open Neuro Seminar by @sanjay_ankur about @NeuroFedora ! https://t.co/jflH5rWHUq","2021-04-09 20:27 +0000","5892.0","89.0","0.015105227427019688","3.0","1.0","10.0","12.0","1.0","0.0","23.0","0.0","0","0","0","0","0","39","39","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1380490965643845637","https://twitter.com/openneurosci/status/1380490965643845637","Today! in 3 hours! 15:00 GMT, the 2nd talk in our #opensource in #neurosciences series, partnering with @worldwideneuro:
Come listen to @sanjay_ankur talk about @NeuroFedora #linux distro for Neurosciences! https://t.co/RCKfi5q6ys
more info on: https://t.co/AaClxkeb8U https://t.co/hclB1cLYul","2021-04-09 12:01 +0000","3454.0","93.0","0.02692530399536769","10.0","1.0","15.0","12.0","25.0","1.0","17.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1379816255595679747","https://twitter.com/openneurosci/status/1379816255595679747","In 2 days! April 09th 15:00 GMT, the 2nd talk in our #opensource in #neurosciences series, partnering with @worldwideneuro:
Come listen to @sanjay_ankur talk about @NeuroFedora #linux distro for Neurosciences! https://t.co/r9bHPF6v7j
more info on: https://t.co/8dtSVl7nYD https://t.co/zrbBSk8mFC","2021-04-07 15:20 +0000","13120.0","79.0","0.006021341463414634","8.0","1.0","10.0","10.0","13.0","1.0","17.0","0.0","0","0","0","0","0","19","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1379091472201478145","https://twitter.com/openneurosci/status/1379091472201478145","This Friday April 09th 15:00 GMT, the 2nd talk in our #opensource in #neurosciences series, partnering with @worldwideneuro:
Come listen to @sanjay_ankur talk about @NeuroFedora #linux distro for Neurosciences! https://t.co/RCKfi5q6ys
more info on: https://t.co/AaClxkeb8U https://t.co/XN21O039JT","2021-04-05 15:20 +0000","3249.0","62.0","0.019082794706063406","13.0","0.0","11.0","8.0","15.0","1.0","9.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1378044652901838850","https://twitter.com/openneurosci/status/1378044652901838850","In a week Friday April 9th 15:00 GMT! Tune in to listen to Ankur Sinha share about @NeuroFedora, a community developing a #linux distribution loaded #opensource tools for #neuroscience!
@worldwideneuro https://t.co/0hb6wUdzf7","2021-04-02 18:00 +0000","456.0","6.0","0.013157894736842105","1.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1377997151020670976","https://twitter.com/openneurosci/status/1377997151020670976","Jump on to https://t.co/nULLQhiSRT, where we'll be going live with @CalcNeuro and @KatuninP in 10 minutes!

Follow us for more #openscience every Friday on our #opensource tools for neuroscience series @worldwideneuro","2021-04-02 14:51 +0000","3046.0","26.0","0.008535784635587657","6.0","0.0","4.0","2.0","8.0","0.0","4.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1377969477229424643","https://twitter.com/openneurosci/status/1377969477229424643","Today in 2 hours!!! 🎉🎉

@CalcNeuro  will present ""An Open-source experimental framework for automation of cell biology experiments"" 
on the #opensource tools for neuroscience series!

#opensourcehardware #openscience #cellbiology
@worldwideneuro https://t.co/gXbMzXirTU","2021-04-02 13:01 +0000","3074.0","31.0","0.010084580351333767","6.0","1.0","5.0","3.0","0.0","1.0","11.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
